Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_307.jpg;0;1;0;2.352616;101.7109;88.65198;1.322161;56.31955;-0.001262694
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_358.jpg;0;1;0;2.396046;101.7913;88.77144;1.329105;56.30831;-0.001293682
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_407.jpg;0;1;0;2.424432;101.8456;88.85217;1.327635;56.30123;-0.001269289
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_457.jpg;0;1;0;2.468424;101.9283;88.97512;1.329052;56.28888;-0.001293655
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_507.jpg;0;1;0;2.497133;101.9843;89.0583;1.331561;56.28111;-0.001302517
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_557.jpg;0;1;0;2.540087;102.0695;89.18485;1.336871;56.26964;-0.001326859
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_607.jpg;0;1;0;2.568658;102.1272;89.27041;1.340858;56.26208;-0.001349732
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_657.jpg;0;1;0;2.61142;102.2148;89.40049;1.34651;56.25092;-0.001379866
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_707.jpg;0;1;0;2.639374;102.274;89.48827;1.342501;56.24361;-0.001350774
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_757.jpg;0;1;0;2.682649;102.3641;89.6218;1.342786;56.23195;-0.0009158436
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_807.jpg;0;1;0;2.710592;102.4249;89.71203;1.347261;56.22158;-0.001351017
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_858.jpg;0;1;0;2.752864;102.5174;89.84909;1.353086;56.20875;-0.001400926
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_908.jpg;0;1;0;2.780982;102.5799;89.94161;1.355915;56.20079;-0.00142017
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_957.jpg;0;1;0;2.823052;102.6748;90.08208;1.358218;56.18911;-0.00143106
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_007.jpg;0;1;0;2.851019;102.7389;90.17686;1.358491;56.18129;-0.001428978
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_057.jpg;-1.491363;1;0;2.892821;102.8363;90.32056;1.357204;56.11858;-0.001166876
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_44_107.jpg;-3.746447;1;0;2.920863;102.9029;90.41697;1.357579;55.91292;-0.0003585788
